,comparisons,doi
0,http://orkg.org/orkg/resource/R140347,10.48366/r140347
1,http://orkg.org/orkg/resource/R140449,10.48366/r140449
2,http://orkg.org/orkg/resource/R140463,10.48366/r140463
3,http://orkg.org/orkg/resource/R140465,10.48366/r140465
4,http://orkg.org/orkg/resource/R140714,10.48366/r140714
5,http://orkg.org/orkg/resource/R140726,10.48366/r140726
6,http://orkg.org/orkg/resource/R141123,10.48366/r141123
7,http://orkg.org/orkg/resource/R141317,10.48366/r141317
8,http://orkg.org/orkg/resource/R141336,10.48366/r141336
9,http://orkg.org/orkg/resource/R141349,10.48366/r141349
10,http://orkg.org/orkg/resource/R141369,10.48366/r141369
11,http://orkg.org/orkg/resource/R141385,10.48366/r141385
12,http://orkg.org/orkg/resource/R141810,10.48366/r141810
13,http://orkg.org/orkg/resource/R141811,10.48366/r141811
14,http://orkg.org/orkg/resource/R142850,10.48366/r142850
15,http://orkg.org/orkg/resource/R143746,10.48366/r143746
16,http://orkg.org/orkg/resource/R143853,10.48366/r143853
17,http://orkg.org/orkg/resource/R143856,10.48366/r143856
18,http://orkg.org/orkg/resource/R144148,10.48366/r144148
19,http://orkg.org/orkg/resource/R144251,10.48366/r144251
20,http://orkg.org/orkg/resource/R144512,10.48366/r144512
21,http://orkg.org/orkg/resource/R145951,10.48366/r145951
22,http://orkg.org/orkg/resource/R146851,10.48366/r146851
23,http://orkg.org/orkg/resource/R147040,10.48366/r147040
24,http://orkg.org/orkg/resource/R147152,10.48366/r147152
25,http://orkg.org/orkg/resource/R147167,10.48366/r147167
26,http://orkg.org/orkg/resource/R147183,10.48366/r147183
27,http://orkg.org/orkg/resource/R147196,10.48366/r147196
28,http://orkg.org/orkg/resource/R147317,10.48366/r147317
29,http://orkg.org/orkg/resource/R147365,10.48366/r147365
30,http://orkg.org/orkg/resource/R147449,10.48366/r147449
31,http://orkg.org/orkg/resource/R147507,10.48366/r147507
32,http://orkg.org/orkg/resource/R148381,10.48366/r148381
33,http://orkg.org/orkg/resource/R148382,10.48366/r148382
34,http://orkg.org/orkg/resource/R149849,10.48366/r149849
35,http://orkg.org/orkg/resource/R150337,10.48366/r150337
36,http://orkg.org/orkg/resource/R151005,10.48366/r151005
37,http://orkg.org/orkg/resource/R152727,10.48366/r152727
38,http://orkg.org/orkg/resource/R153801,10.48366/r153801
39,http://orkg.org/orkg/resource/R155154,10.48366/r155154
40,http://orkg.org/orkg/resource/R155191,10.48366/r155191
41,http://orkg.org/orkg/resource/R155248,10.48366/r155248
42,http://orkg.org/orkg/resource/R155445,10.48366/r155445
43,http://orkg.org/orkg/resource/R155526,10.48366/r155526
44,http://orkg.org/orkg/resource/R155543,10.48366/r155543
45,http://orkg.org/orkg/resource/R155561,10.48366/r155561
46,http://orkg.org/orkg/resource/R155584,10.48366/r155584
47,http://orkg.org/orkg/resource/R155800,10.48366/r155800
48,http://orkg.org/orkg/resource/R157074,10.48366/r157074
49,http://orkg.org/orkg/resource/R157076,10.48366/r157076
50,http://orkg.org/orkg/resource/R160149,10.48366/r160149
51,http://orkg.org/orkg/resource/R160168,10.48366/r160168
52,http://orkg.org/orkg/resource/R160174,10.48366/r160174
53,http://orkg.org/orkg/resource/R160189,10.48366/r160189
54,http://orkg.org/orkg/resource/R160205,10.48366/r160205
55,http://orkg.org/orkg/resource/R160527,10.48366/r160527
56,http://orkg.org/orkg/resource/R160596,10.48366/r160596
57,http://orkg.org/orkg/resource/R160597,10.48366/r160597
58,http://orkg.org/orkg/resource/R160742,10.48366/r160742
59,http://orkg.org/orkg/resource/R160768,10.48366/r160768
60,http://orkg.org/orkg/resource/R161079,10.48366/r161079
61,http://orkg.org/orkg/resource/R161787,10.48366/r161787
62,http://orkg.org/orkg/resource/R164670,10.48366/r164670
63,http://orkg.org/orkg/resource/R165700,10.48366/r165700
64,http://orkg.org/orkg/resource/R165702,10.48366/r165702
65,http://orkg.org/orkg/resource/R165794,10.48366/r165794
66,http://orkg.org/orkg/resource/R165866,10.48366/r165866
67,http://orkg.org/orkg/resource/R166315,10.48366/r166315
68,http://orkg.org/orkg/resource/R172690,10.48366/r172690
69,http://orkg.org/orkg/resource/R178164,10.48366/r178164
70,http://orkg.org/orkg/resource/R68121,10.48366/r68121
71,http://orkg.org/orkg/resource/R68535,10.48366/r68535
72,http://orkg.org/orkg/resource/R69680,10.48366/r69680
73,http://orkg.org/orkg/resource/R73210,10.48366/r73210
74,http://orkg.org/orkg/resource/R74529,10.48366/r74529
75,http://orkg.org/orkg/resource/R74541,10.48366/r74541
76,http://orkg.org/orkg/resource/R74774,10.48366/r74774
77,http://orkg.org/orkg/resource/R75093,10.48366/r75093
78,http://orkg.org/orkg/resource/R75140,10.48366/r75140
79,http://orkg.org/orkg/resource/R75439,10.48366/r75439
80,http://orkg.org/orkg/resource/R75673,10.48366/r75673
81,http://orkg.org/orkg/resource/R75729,10.48366/r75729
82,http://orkg.org/orkg/resource/R76052,10.48366/r76052
83,http://orkg.org/orkg/resource/R76054,10.48366/r76054
84,http://orkg.org/orkg/resource/R76129,10.48366/r76129
85,http://orkg.org/orkg/resource/R76284,10.48366/r76284
86,http://orkg.org/orkg/resource/R76297,10.48366/r76297
87,http://orkg.org/orkg/resource/R76324,10.48366/r76324
88,http://orkg.org/orkg/resource/R76783,10.48366/r76783
89,http://orkg.org/orkg/resource/R76785,10.48366/r76785
90,http://orkg.org/orkg/resource/R76906,10.48366/r76906
91,http://orkg.org/orkg/resource/R78163,10.48366/r78163
92,http://orkg.org/orkg/resource/R78454,10.48366/r78454
93,http://orkg.org/orkg/resource/R287928,10.48366/r287928
94,http://orkg.org/orkg/resource/R287929,10.48366/r287929
95,http://orkg.org/orkg/resource/R385010,10.48366/r385010
96,http://orkg.org/orkg/resource/R204130,10.48366/r204130
97,http://orkg.org/orkg/resource/R204209,10.48366/r204209
98,http://orkg.org/orkg/resource/R209243,10.48366/r209243
99,http://orkg.org/orkg/resource/R209290,10.48366/r209290
100,http://orkg.org/orkg/resource/R209443,10.48366/r209443
101,http://orkg.org/orkg/resource/R209929,10.48366/r209929
102,http://orkg.org/orkg/resource/R210137,10.48366/r210137
103,http://orkg.org/orkg/resource/R210410,10.48366/r210410
104,http://orkg.org/orkg/resource/R210531,10.48366/r210531
105,http://orkg.org/orkg/resource/R211015,10.48366/r211015
106,http://orkg.org/orkg/resource/R211094,10.48366/r211094
107,http://orkg.org/orkg/resource/R211233,10.48366/r211233
108,http://orkg.org/orkg/resource/R211260,10.48366/r211260
109,http://orkg.org/orkg/resource/R211514,10.48366/r211514
110,http://orkg.org/orkg/resource/R211515,10.48366/r211515
111,http://orkg.org/orkg/resource/R211826,10.48366/r211826
112,http://orkg.org/orkg/resource/R211921,10.48366/r211921
113,http://orkg.org/orkg/resource/R211935,10.48366/r211935
114,http://orkg.org/orkg/resource/R212405,10.48366/r212405
115,http://orkg.org/orkg/resource/R212408,10.48366/r212408
116,http://orkg.org/orkg/resource/R212457,10.48366/r212457
117,http://orkg.org/orkg/resource/R212463,10.48366/r212463
118,http://orkg.org/orkg/resource/R212576,10.48366/r212576
119,http://orkg.org/orkg/resource/R212902,10.48366/r212902
120,http://orkg.org/orkg/resource/R214162,10.48366/r214162
121,http://orkg.org/orkg/resource/R214164,10.48366/r214164
122,http://orkg.org/orkg/resource/R214230,10.48366/r214230
123,http://orkg.org/orkg/resource/R214266,10.48366/r214266
124,http://orkg.org/orkg/resource/R215005,10.48366/r215005
125,http://orkg.org/orkg/resource/R215211,10.48366/r215211
126,http://orkg.org/orkg/resource/R215443,10.48366/r215443
127,http://orkg.org/orkg/resource/R215567,10.48366/r215567
128,http://orkg.org/orkg/resource/R215669,10.48366/r215669
129,http://orkg.org/orkg/resource/R215685,10.48366/r215685
130,http://orkg.org/orkg/resource/R215882,10.48366/r215882
131,http://orkg.org/orkg/resource/R216269,10.48366/r216269
132,http://orkg.org/orkg/resource/R216423,10.48366/r216423
133,http://orkg.org/orkg/resource/R217120,10.48366/r217120
134,http://orkg.org/orkg/resource/R217123,10.48366/r217123
135,http://orkg.org/orkg/resource/R217389,10.48366/r217389
136,http://orkg.org/orkg/resource/R217424,10.48366/r217424
137,http://orkg.org/orkg/resource/R217425,10.48366/r217425
138,http://orkg.org/orkg/resource/R217545,10.48366/r217545
139,http://orkg.org/orkg/resource/R217592,10.48366/r217592
140,http://orkg.org/orkg/resource/R218943,10.48366/r218943
141,http://orkg.org/orkg/resource/R218989,10.48366/r218989
142,http://orkg.org/orkg/resource/R219046,10.48366/r219046
143,http://orkg.org/orkg/resource/R219085,10.48366/r219085
144,http://orkg.org/orkg/resource/R219275,10.48366/r219275
145,http://orkg.org/orkg/resource/R219286,10.48366/r219286
146,http://orkg.org/orkg/resource/R219410,10.48366/r219410
147,http://orkg.org/orkg/resource/R219443,10.48366/r219443
148,http://orkg.org/orkg/resource/R219581,10.48366/r219581
149,http://orkg.org/orkg/resource/R219718,10.48366/r219718
150,http://orkg.org/orkg/resource/R220094,10.48366/r220094
151,http://orkg.org/orkg/resource/R220231,10.48366/r220231
152,http://orkg.org/orkg/resource/R220872,10.48366/r220872
153,http://orkg.org/orkg/resource/R220885,10.48366/r220885
154,http://orkg.org/orkg/resource/R220919,10.48366/r220919
155,http://orkg.org/orkg/resource/R220920,10.48366/r220920
156,http://orkg.org/orkg/resource/R221160,10.48366/r221160
157,http://orkg.org/orkg/resource/R221192,10.48366/r221192
158,http://orkg.org/orkg/resource/R221200,10.48366/r221200
159,http://orkg.org/orkg/resource/R221688,10.48366/r221688
160,http://orkg.org/orkg/resource/R221781,10.48366/r221781
