,comparisons,doi
165,http://orkg.org/orkg/resource/R221192,10.48366/r221192
166,http://orkg.org/orkg/resource/R221200,10.48366/r221200
167,http://orkg.org/orkg/resource/R221688,10.48366/r221688
168,http://orkg.org/orkg/resource/R221781,10.48366/r221781
169,http://orkg.org/orkg/resource/R221782,10.48366/r221782
170,http://orkg.org/orkg/resource/R222041,10.48366/r222041
171,http://orkg.org/orkg/resource/R222990,10.48366/r222990
172,http://orkg.org/orkg/resource/R223002,10.48366/r223002
173,http://orkg.org/orkg/resource/R224809,10.48366/r224809
174,http://orkg.org/orkg/resource/R224810,10.48366/r224810
175,http://orkg.org/orkg/resource/R225220,10.48366/r225220
176,http://orkg.org/orkg/resource/R225253,10.48366/r225253
177,http://orkg.org/orkg/resource/R225329,10.48366/r225329
178,http://orkg.org/orkg/resource/R226630,10.48366/r226630
179,http://orkg.org/orkg/resource/R226772,10.48366/r226772
180,http://orkg.org/orkg/resource/R228158,10.48366/r228158
181,http://orkg.org/orkg/resource/R228696,10.48366/r228696
182,http://orkg.org/orkg/resource/R230415,10.48366/r230415
183,http://orkg.org/orkg/resource/R234068,10.48366/r234068
184,http://orkg.org/orkg/resource/R235512,10.48366/r235512
185,http://orkg.org/orkg/resource/R235550,10.48366/r235550
186,http://orkg.org/orkg/resource/R236296,10.48366/r236296
187,http://orkg.org/orkg/resource/R239314,10.48366/r239314
188,http://orkg.org/orkg/resource/R246267,10.48366/r246267
189,http://orkg.org/orkg/resource/R248411,10.48366/r248411
190,http://orkg.org/orkg/resource/R249037,10.48366/r249037
191,http://orkg.org/orkg/resource/R250455,10.48366/r250455
192,http://orkg.org/orkg/resource/R260009,10.48366/r260009
193,http://orkg.org/orkg/resource/R260193,10.48366/r260193
194,http://orkg.org/orkg/resource/R260330,10.48366/r260330
195,http://orkg.org/orkg/resource/R261028,10.48366/r261028
196,http://orkg.org/orkg/resource/R266339,10.48366/r266339
197,http://orkg.org/orkg/resource/R266423,10.48366/r266423
198,http://orkg.org/orkg/resource/R274032,10.48366/r274032
199,http://orkg.org/orkg/resource/R275000,10.48366/r275000
200,http://orkg.org/orkg/resource/R280729,10.48366/r280729
201,http://orkg.org/orkg/resource/R281265,10.48366/r281265
202,http://orkg.org/orkg/resource/R282511,10.48366/r282511
203,http://orkg.org/orkg/resource/R107854,10.48366/r107854
204,http://orkg.org/orkg/resource/R108358,10.48366/r108358
205,http://orkg.org/orkg/resource/R108601,10.48366/r108601
206,http://orkg.org/orkg/resource/R108719,10.48366/r108719
207,http://orkg.org/orkg/resource/R109041,10.48366/r109041
208,http://orkg.org/orkg/resource/R109236,10.48366/r109236
209,http://orkg.org/orkg/resource/R109546,10.48366/r109546
210,http://orkg.org/orkg/resource/R109612,10.48366/r109612
211,http://orkg.org/orkg/resource/R109904,10.48366/r109904
212,http://orkg.org/orkg/resource/R110071,10.48366/r110071
213,http://orkg.org/orkg/resource/R110124,10.48366/r110124
214,http://orkg.org/orkg/resource/R110138,10.48366/r110138
215,http://orkg.org/orkg/resource/R110188,10.48366/r110188
216,http://orkg.org/orkg/resource/R110245,10.48366/r110245
217,http://orkg.org/orkg/resource/R110361,10.48366/r110361
218,http://orkg.org/orkg/resource/R110651,10.48366/r110651
219,http://orkg.org/orkg/resource/R110655,10.48366/r110655
220,http://orkg.org/orkg/resource/R110777,10.48366/r110777
221,http://orkg.org/orkg/resource/R110991,10.48366/r110991
222,http://orkg.org/orkg/resource/R111117,10.48366/r111117
223,http://orkg.org/orkg/resource/R111151,10.48366/r111151
224,http://orkg.org/orkg/resource/R111154,10.48366/r111154
225,http://orkg.org/orkg/resource/R112387,10.48366/r112387
226,http://orkg.org/orkg/resource/R113089,10.48366/r113089
227,http://orkg.org/orkg/resource/R114155,10.48366/r114155
228,http://orkg.org/orkg/resource/R137151,10.48366/r137151
229,http://orkg.org/orkg/resource/R137164,10.48366/r137164
230,http://orkg.org/orkg/resource/R137469,10.48366/r137469
231,http://orkg.org/orkg/resource/R138179,10.48366/r138179
232,http://orkg.org/orkg/resource/R138373,10.48366/r138373
233,http://orkg.org/orkg/resource/R138393,10.48366/r138393
234,http://orkg.org/orkg/resource/R138418,10.48366/r138418
235,http://orkg.org/orkg/resource/R138483,10.48366/r138483
236,http://orkg.org/orkg/resource/R138501,10.48366/r138501
237,http://orkg.org/orkg/resource/R138542,10.48366/r138542
238,http://orkg.org/orkg/resource/R138633,10.48366/r138633
239,http://orkg.org/orkg/resource/R139050,10.48366/r139050
240,http://orkg.org/orkg/resource/R139190,10.48366/r139190
241,http://orkg.org/orkg/resource/R139191,10.48366/r139191
242,http://orkg.org/orkg/resource/R139567,10.48366/r139567
243,http://orkg.org/orkg/resource/R139568,10.48366/r139568
244,http://orkg.org/orkg/resource/R172704,10.48366/r172704
245,http://orkg.org/orkg/resource/R172826,10.48366/r172826
246,http://orkg.org/orkg/resource/R172932,10.48366/r172932
247,http://orkg.org/orkg/resource/R175108,10.48366/r175108
248,http://orkg.org/orkg/resource/R175304,10.48366/r175304
249,http://orkg.org/orkg/resource/R176017,10.48366/r176017
250,http://orkg.org/orkg/resource/R176038,10.48366/r176038
251,http://orkg.org/orkg/resource/R178188,10.48366/r178188
252,http://orkg.org/orkg/resource/R178201,10.48366/r178201
253,http://orkg.org/orkg/resource/R178450,10.48366/r178450
254,http://orkg.org/orkg/resource/R178479,10.48366/r178479
255,http://orkg.org/orkg/resource/R186111,10.48366/r186111
256,http://orkg.org/orkg/resource/R187049,10.48366/r187049
257,http://orkg.org/orkg/resource/R193278,10.48366/r193278
258,http://orkg.org/orkg/resource/R193463,10.48366/r193463
259,http://orkg.org/orkg/resource/R201854,10.48366/r201854
260,http://orkg.org/orkg/resource/R288015,10.48366/r288015
261,http://orkg.org/orkg/resource/R288016,10.48366/r288016
262,http://orkg.org/orkg/resource/R288017,10.48366/r288017
263,http://orkg.org/orkg/resource/R288018,10.48366/r288018
264,http://orkg.org/orkg/resource/R288019,10.48366/r288019
265,http://orkg.org/orkg/resource/R288020,10.48366/r288020
266,http://orkg.org/orkg/resource/R288021,10.48366/r288021
267,http://orkg.org/orkg/resource/R288022,10.48366/r288022
268,http://orkg.org/orkg/resource/R288023,10.48366/r288023
269,http://orkg.org/orkg/resource/R288024,10.48366/r288024
270,http://orkg.org/orkg/resource/R288025,10.48366/r288025
271,http://orkg.org/orkg/resource/R288027,10.48366/r288027
272,http://orkg.org/orkg/resource/R288028,10.48366/r288028
273,http://orkg.org/orkg/resource/R288029,10.48366/r288029
274,http://orkg.org/orkg/resource/R288044,10.48366/r288044
275,http://orkg.org/orkg/resource/R288045,10.48366/r288045
276,http://orkg.org/orkg/resource/R288046,10.48366/r288046
277,http://orkg.org/orkg/resource/R288047,10.48366/r288047
278,http://orkg.org/orkg/resource/R288049,10.48366/r288049
279,http://orkg.org/orkg/resource/R288078,10.48366/r288078
280,http://orkg.org/orkg/resource/R282510,10.48366/r282510
281,http://orkg.org/orkg/resource/R282512,10.48366/r282512
282,http://orkg.org/orkg/resource/R284515,10.48366/r284515
283,http://orkg.org/orkg/resource/R285347,10.48366/r285347
284,http://orkg.org/orkg/resource/R287928,10.48366/r287928
285,http://orkg.org/orkg/resource/R287929,10.48366/r287929
286,http://orkg.org/orkg/resource/R385010,10.48366/r385010
